,会社名,初年度年収,給与
0,CBcloud株式会社 | 自社プロダクト『PickGo』『SmaRyu』などを展開,《20～30代活躍中！未経験OK！》■40歳以下の方 ■学歴不問　〈あれば活かせます〉カスタマーサポート、営業、接客などの経験,★転勤なし！ 【沖縄ベース】 沖縄県那覇市銘苅2-3-1 なは産業支援センター(メカル ヨン_ゴ)…
1,PT.REERACOEN INDONESIA,物流業界での勤務経験／英語力（ビジネスレベル以上）,ジャカルタ・インドネシア
2,PT.REERACOEN INDONESIA,自動車業界での品質管理経験／インドネシア語力（日常会話レベル以上）,カラワン・インドネシア
3,PT.REERACOEN INDONESIA,社会人経験1年以上／英語力（日常会話レベル）,ジャカルタ・インドネシア
4,北沢産業株式会社 | 大阪府緊急雇用対策に賛同します ◆東証一部上場 ◆年休122日,【要普通免許（AT限定可）】社会人経験や学歴や転職回数、ブランク一切不問！安定した職場でスキルアップを目指していきたい方,全国の各拠点で募集。 希望を考慮して勤務地を決定します。 ※どの拠点もマイカー通勤が可能です。 ＜…
5,株式会社宣伝館 | 業界未経験者も月給26万5千円～！/転勤無/賞与年3回＋インセン有,問合せのみOK【新卒や社会人未経験、他業種経験者、歓迎！ポテンシャルに期待！離職中もOK】基本的PC操作／年齢不問★能力・給与UPに貪欲な方も歓迎！,【東京支社（三越前駅徒歩1分）※積極採用中！】または【大阪本社（最寄の高井田駅〜本町駅まで直通10…
6,PT.REERACOEN INDONESIA,機器関係の営業経験／英語力（日常会話レベル以上）,チカラン・インドネシア
7,PT.REERACOEN INDONESIA,ITコンサル企業、システム関連企業での勤務経験／英語力（日常会話レベル以上）,ジャカルタ・インドネシア
8,PT.REERACOEN INDONESIA,営業経験（業界不問）、マネジメント経験／英語力（日常会話レベル以上）,ジャカルタ・インドネシア
9,東京海上日動あんしん生命保険株式会社 | ◆横浜支社／20～50代まで幅広く活躍しています！,【成長できる環境】《大卒以上のすべての方が対象です》★経験不問★夢や目標がある方は大歓迎！,【みなとみらい駅徒歩1分◆横浜支社】 神奈川県横浜市西区みなとみらい3-6-4 みなとみらいビジネ…
10,株式会社ヴィ・ド・フランス | 店舗拡大中！老若男女に愛されて全国約260店舗を展開★,【30代前後のスタッフが活躍中】◆「フードサービス業」または「小売業」での店舗勤務経験者 ★安定企業で経営や接客に挑戦したい方にぴったりです！,■関東または関西のエリアの直営店（希望を考慮し配属） ★エリアをまたいでの転勤は基本なし ★駅チカ…
11,東京海上日動あんしん生命保険株式会社 | 【完全週休2日制／年休120日以上／育産休あり／20～30代活躍中】,【性別・学歴不問！未経験の方大歓迎！】■全員が異業界からの転職者！中途のハンデは一切ありません！ ※家庭やオフも大切にしながら活躍できます！,【転勤はありません！】 大阪市北区中之島2-2-2 大阪中之島ビル8F ★大好きな街・大阪でずっと…
12,新栄自動車株式会社 | つばめグループ ★平均月収35万円 ★生活支援金10万円支給,【 未経験でも大丈夫！ 】★普通自動車免許（AT可）があればOK（取得後3年以上）★「とにかく正社員になりたい！」という軽めの志望動機でも歓迎！,◎転勤なし ◎U・Iターン歓迎 ◎マイカー通勤OK（駐車場完備） ★即入居できる社員寮完備！ ◆新…
13,西日本自動車株式会社 | ナビなど装備も充実で未経験でも安心／経験者は転職準備金15万円,【二種免許は会社費用で取得（2週間程度で取得可)】◎普通免許取得から３年以上の方（AT限定OK）★女性や若手社員も活躍中（働き方相談も柔軟に対応）,◎転勤は一切ありません。 ※マイカー通勤OK（無料駐車場あり） U・Iターンも大歓迎！ 【 本社…
14,"東京海上日動あんしん生命保険株式会社 | 新名古屋支社　★完全週休2日制★年収1,000万円も可能！",《経験不問・人物重視の採用です》◎高卒以上。3年以上の社会人経験者歓迎。営業や接客、販売等の経験がある方はスキルを活かせます。,＜地下鉄「丸の内」駅より徒歩3分＞ ★転勤なし！ 【新名古屋支社】 愛知県名古屋市中区丸の内2-2…
15,東京海上日動あんしん生命保険株式会社 | 【東京海上グループの安定感】経験3年で1000万円プレーヤーも！,【 業界未経験歓迎！】◎ 必須 ◆要普免（AT限定可）◆高卒以上◆接客、営業など人と関わる仕事の経験がある方！ ★UIターン希望者も大歓迎！,【転勤なし・UIターン歓迎】 広島市中区織町13-4 広島マツダビル10階 《「銀山町」電停より徒…
